gender;age;bmi_3;bmi_5;bmi_10;bmi_25;bmi_50;bmi_75;bmi_85;bmi_90;bmi_95;bmi_97
M;11.54166667;14.47638;14.75989;15.23751;16.17434;17.50138;19.31232;20.60910189;21.6861986;23.72897155;25.49294066
M;11.625;14.50977;14.79496;15.27543;16.21784;17.55276;19.37417;20.6781365;21.76091323;23.81354171;25.58481418
M;11.70833333;14.54365;14.83052;15.31381;16.26177;17.60448;19.43622;20.74722303;21.83553865;23.89769296;25.67591492
M;11.79166667;14.57802;14.86655;15.35265;16.30612;17.65653;19.49845;20.81634983;21.91006237;23.98141187;25.76622996
M;11.875;14.61287;14.90306;15.39195;16.35087;17.70892;19.56086;20.88550554;21.98447229;24.06468566;25.85574725
M;11.95833333;14.64819;14.94002;15.43169;16.39603;17.76162;19.62342;20.95467909;22.05875672;24.14750216;25.94445561
M;12.04166667;14.68398;14.97745;15.47187;16.44158;17.81463;19.68614;21.02385969;22.13290433;24.22984982;26.0323447
M;12.125;14.72022;15.01532;15.51248;16.48751;17.86795;19.74901;21.09303687;22.20690421;24.31171774;26.11940509
M;12.20833333;14.75692;15.05363;15.5535;16.53382;17.92155;19.812;21.1622004;22.28074585;24.39309562;26.20562819
M;12.29166667;14.79406;15.09238;15.59495;16.5805;17.97544;19.87512;21.23134038;22.35441912;24.47397382;26.2910063
M;12.375;14.83163;15.13155;15.6368;16.62754;18.02961;19.93836;21.30044717;22.42791427;24.55434332;26.37553258
M;12.45833333;14.86963;15.17113;15.67904;16.67494;18.08404;20.0017;21.36951141;22.50122197;24.63419572;26.45920106
M;12.54166667;14.90804;15.21113;15.72168;16.72267;18.13873;20.06514;21.43852405;22.57433325;24.71352325;26.54200665
M;12.625;14.94687;15.25152;15.7647;16.77074;18.19367;20.12866;21.5074763;22.64723955;24.79231881;26.62394515
M;12.70833333;14.98609;15.2923;15.80809;16.81914;18.24884;20.19227;21.57635964;22.7199327;24.87057587;26.7050132
M;12.79166667;15.02571;15.33347;15.85184;16.86786;18.30426;20.25594;21.64516586;22.79240491;24.9482886;26.78520835
M;12.875;15.06571;15.37501;15.89595;16.91689;18.35989;20.31968;21.71388701;22.86464879;25.02545175;26.86452902
M;12.95833333;15.10609;15.41692;15.94041;16.96621;18.41574;20.38347;21.78251541;22.93665733;25.10206075;26.94297451
M;13.04166667;15.14683;15.45918;15.9852;17.01583;18.4718;20.44731;21.85104367;23.0084239;25.17811163;27.02054498
M;13.125;15.18793;15.50179;16.03032;17.06574;18.52805;20.51119;21.91946467;23.07994228;25.25360108;27.09724149
M;13.20833333;15.22938;15.54474;16.07576;17.11592;18.5845;20.5751;21.98777156;23.15120662;25.32852641;27.173066
M;13.29166667;15.27116;15.58801;16.12151;17.16636;18.64113;20.63903;22.05595776;23.22221145;25.4028856;27.24802132
M;13.375;15.31327;15.63161;16.16756;17.21706;18.69793;20.70298;22.12401698;23.2929517;25.47667722;27.32211115
M;13.45833333;15.3557;15.67551;16.21391;17.26801;18.75489;20.76694;22.19194317;23.36342268;25.54990054;27.39534011
M;13.54166667;15.39843;15.71971;16.26054;17.3192;18.81202;20.8309;22.25973057;23.43362008;25.62255542;27.46771366
M;13.625;15.44147;15.7642;16.30743;17.37062;18.86929;20.89486;22.32737368;23.50353999;25.6946424;27.53923819
M;13.70833333;15.48479;15.80897;16.3546;17.42227;18.9267;20.9588;22.39486727;23.57317887;25.76616263;27.60992094
M;13.79166667;15.52839;15.85401;16.40201;17.47412;18.98424;21.02272;22.46220636;23.64253356;25.83711794;27.67977007
M;13.875;15.57226;15.89931;16.44967;17.52618;19.04191;21.08663;22.52938625;23.71160129;25.90751079;27.74879463
M;13.95833333;15.61638;15.94486;16.49756;17.57843;19.0997;21.15049;22.5964025;23.78037969;25.97734428;27.81700453
M;14.04166667;15.66076;15.99065;16.54568;17.63086;19.15759;21.21433;22.66325092;23.84886673;26.04662217;27.88441062
